test,model,position,loss
random,BDH,131,14.45407485961914
random,Transformer,131,13.960458755493164
random,BDH,132,14.901605606079102
random,Transformer,132,14.515588760375977
random,BDH,133,15.075054168701172
random,Transformer,133,14.308446884155273
random,BDH,134,14.095494270324707
random,Transformer,134,13.865882873535156
random,BDH,135,14.97358512878418
random,Transformer,135,14.211614608764648
random,BDH,136,14.445898056030273
random,Transformer,136,13.839031219482422
random,BDH,137,14.51081657409668
random,Transformer,137,14.107109069824219
random,BDH,138,14.788620948791504
random,Transformer,138,14.323892593383789
random,BDH,139,14.384761810302734
random,Transformer,139,14.206271171569824
random,BDH,140,14.90192985534668
random,Transformer,140,14.652551651000977
random,BDH,141,14.458691596984863
random,Transformer,141,14.269134521484375
random,BDH,142,14.879796981811523
random,Transformer,142,14.45062255859375
random,BDH,143,14.93980598449707
random,Transformer,143,14.315160751342773
